protocol,tx_hash,user,block_number,log_index,collateral_asset,debt_asset,health_factor,measurable,mismatch,cause
aave_v2,0xaf90fe7b095c80822a137667da5b313aec021827b1e2c4daf7b7ddcf5bc63ccf,0xf9e9d8f5998ccb5b0892f4590e3e8c8ac5b3e1bf,11911396,280,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.1120967605918217,True,True,unexplained
aave_v2,0x943f82a9afe6171c468ea09a92a771e1877021a0f2ee0884935cc2d6a0c0e318,0xcbc970f4df40f7cf07622b0aa9aa7c892da6d0de,11912251,15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.1900518899528818,True,True,unexplained
aave_v2,0x7ff02eb386e9afad22b569f90bb6d3f02a9b7796e2e80dd3f3cc728de93bc35b,0x63a4b834395c0dafd8f8b22bec851da5ef4a2c11,11912253,21,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.1959762054316554,True,True,unexplained
aave_v2,0xbec3538d1551f00e09d4d459f9fd296d8ee4a39a886adce00fbbf8b8965aae56,0xccec96a03dda5c438996701f26bef600366a137b,11914941,159,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.1754548188944853,True,True,unexplained
aave_v2,0xe09971c2e5c7f9f9a66a3c10579b439165841aafab9b2431b55c69ae761dd420,0x1f44b1c34a7b3c4a9e41826b528970b90226acf7,11915118,185,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.175233610518417,True,True,unexplained
aave_v2,0x61fa778ceeb18318f88feaed4eb3c3f61ac5cb8dfbd898034998dcd14aa922e7,0x2a81e3175fa5af73040a34ee51b98a4be5a1631a,11915329,127,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.1874859041684618,True,True,unexplained
aave_v2,0xbadf4b0b38d8389a3d60a5b820364170ea94af9dcc1d9415389d9295bd53ebc2,0x0569a5472eaa98a5753fe717aaf625f2bfbfba5a,11915438,268,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x6b175474e89094c44da98b954eedeac495271d0f,1.210528023309702,True,True,unexplained
aave_v2,0xfb69e320a8673f5cb699d30faf22758bd9d6bbbc7e2a563871ea5b3125042e43,0x26facd73d27b480e0923a4deb0143f104cf6fabd,11928875,109,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0580479040638948,True,True,unexplained
aave_v2,0xa86bfbfa0f268cc41c3a54a04dfb73eb496137c01c75b1501b299cadb0ec65f0,0x11658a88f95dd336faaaf303751c9af5058e6ab7,11928950,233,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0800312139463328,True,True,unexplained
aave_v2,0x68e2026a13fffed3efd9787e3699fafc9d60beb0e80058b76c665e9392db5919,0x2c4ef3a24b1f38d848283c65b05b00987ee43fd8,11928950,195,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0831195078050426,True,True,unexplained
aave_v2,0x63d7e6fc9da2ff934afe807974ea9f47567cc06a6670333c6404935dc2401d1d,0x3ed61895bc00f43d6dafb573d942eb672035edc1,11928950,249,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0827757799911066,True,True,unexplained
aave_v2,0x7e0ff079eeb9360a6f08cf09e9fc4a414e5b77e41fcc5a02493692041c64dfc8,0xbf7da4bee1d18a6f510cf69056dd2ba8e6a9f1a6,11929460,219,0x514910771af9ca656af840dff83e8264ecf986ca,0x0000000000085d4780b73119b644ae5ecd22b376,1.0796230673916734,True,True,unexplained
aave_v2,0x170c76a92f8157cbd3be0f39ec76ed4cbbb0b6e401dc9b07af922bf2af0c616c,0x50ed6500e5e0e4ca1cf8f7006c4a4ebc469c82e1,11931437,190,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.022527767793832,True,True,unexplained
aave_v2,0xe3c6c633f955b950947ce757e9af272745bdde41473a5910db7e7bf982965ca1,0x25a765945ffff231beedf9d9575852d8574beae1,11931542,242,0x514910771af9ca656af840dff83e8264ecf986ca,0xdac17f958d2ee523a2206206994597c13d831ec7,1.017987159297055,True,True,unexplained
