episode_id,protocol_tag,definition,w,k,theta_label,theta_usd,generation_lag_blocks,is_primary,start_block,end_block,start_time,end_time,total_liquidated_usd,num_positions,num_accounts,max_generations,severity_usd
aave_v2_w100_k5_p99.5_14959193_14959355,aave_v2,D-A,100,5,p99.5,29940420.345507156,20,False,14959193,14959355,2022-06-14 01:40:22+00:00,2022-06-14 02:19:40+00:00,49378309.59151435,222,214,5,49378309.59151435
aave_v2_w100_k10_p99.5_12464836_12465111,aave_v2,D-A,100,10,p99.5,29940420.345507156,20,True,12464836,12465111,2021-05-19 12:32:52+00:00,2021-05-19 13:32:04+00:00,77812431.17552555,172,155,5,77812431.17552555
aave_v2_w100_k10_p99.5_13737970_13738093,aave_v2,D-A,100,10,p99.5,29940420.345507156,20,True,13737970,13738093,2021-12-04 05:14:05+00:00,2021-12-04 05:44:43+00:00,32713111.868608944,141,125,3,32713111.868608944
aave_v2_w100_k10_p99.5_14959193_14959355,aave_v2,D-A,100,10,p99.5,29940420.345507156,20,True,14959193,14959355,2022-06-14 01:40:22+00:00,2022-06-14 02:19:40+00:00,49378309.59151435,222,214,5,49378309.59151435
aave_v2_w100_k20_p99.5_12464836_12465111,aave_v2,D-A,100,20,p99.5,29940420.345507156,20,False,12464836,12465111,2021-05-19 12:32:52+00:00,2021-05-19 13:32:04+00:00,77812431.17552555,172,155,5,77812431.17552555
aave_v2_w100_k20_p99.5_13737970_13738093,aave_v2,D-A,100,20,p99.5,29940420.345507156,20,False,13737970,13738093,2021-12-04 05:14:05+00:00,2021-12-04 05:44:43+00:00,32713111.868608944,141,125,3,32713111.868608944
aave_v2_w100_k20_p99.5_14959193_14959355,aave_v2,D-A,100,20,p99.5,29940420.345507156,20,False,14959193,14959355,2022-06-14 01:40:22+00:00,2022-06-14 02:19:40+00:00,49378309.59151435,222,214,5,49378309.59151435
aave_v2_w100_k5_p99.9_14959206_14959318,aave_v2,D-A,100,5,p99.9,44608934.54447587,20,False,14959206,14959318,2022-06-14 01:42:43+00:00,2022-06-14 02:10:42+00:00,48415542.4705521,177,171,3,48415542.4705521
aave_v2_w100_k10_p99.9_14959206_14959318,aave_v2,D-A,100,10,p99.9,44608934.54447587,20,False,14959206,14959318,2022-06-14 01:42:43+00:00,2022-06-14 02:10:42+00:00,48415542.4705521,177,171,3,48415542.4705521
aave_v2_w100_k20_p99.9_14959206_14959318,aave_v2,D-A,100,20,p99.9,44608934.54447587,20,False,14959206,14959318,2022-06-14 01:42:43+00:00,2022-06-14 02:10:42+00:00,48415542.4705521,177,171,3,48415542.4705521
aave_v2_w300_k5_p99_12464647_12465326,aave_v2,D-A,300,5,p99,39844185.71855066,20,False,12464647,12465326,2021-05-19 11:52:48+00:00,2021-05-19 14:22:24+00:00,103920972.82737291,262,216,13,103920972.82737291
aave_v2_w300_k5_p99_13737883_13738206,aave_v2,D-A,300,5,p99,39844185.71855066,20,False,13737883,13738206,2021-12-04 04:54:20+00:00,2021-12-04 06:12:26+00:00,42529501.72597106,219,186,6,42529501.72597106
aave_v2_w300_k5_p99_14958998_14959550,aave_v2,D-A,300,5,p99,39844185.71855066,20,False,14958998,14959550,2022-06-14 00:47:54+00:00,2022-06-14 03:13:05+00:00,53006992.518156946,407,371,10,53006992.518156946
aave_v2_w300_k10_p99_12464647_12465326,aave_v2,D-A,300,10,p99,39844185.71855066,20,False,12464647,12465326,2021-05-19 11:52:48+00:00,2021-05-19 14:22:24+00:00,103920972.82737291,262,216,13,103920972.82737291
aave_v2_w300_k10_p99_13737883_13738206,aave_v2,D-A,300,10,p99,39844185.71855066,20,False,13737883,13738206,2021-12-04 04:54:20+00:00,2021-12-04 06:12:26+00:00,42529501.72597106,219,186,6,42529501.72597106
aave_v2_w300_k10_p99_14958998_14959550,aave_v2,D-A,300,10,p99,39844185.71855066,20,False,14958998,14959550,2022-06-14 00:47:54+00:00,2022-06-14 03:13:05+00:00,53006992.518156946,407,371,10,53006992.518156946
aave_v2_w300_k20_p99_12464647_12465326,aave_v2,D-A,300,20,p99,39844185.71855066,20,False,12464647,12465326,2021-05-19 11:52:48+00:00,2021-05-19 14:22:24+00:00,103920972.82737291,262,216,13,103920972.82737291
aave_v2_w300_k20_p99_13737883_13738206,aave_v2,D-A,300,20,p99,39844185.71855066,20,False,13737883,13738206,2021-12-04 04:54:20+00:00,2021-12-04 06:12:26+00:00,42529501.72597106,219,186,6,42529501.72597106
aave_v2_w300_k20_p99_14958998_14959550,aave_v2,D-A,300,20,p99,39844185.71855066,20,False,14958998,14959550,2022-06-14 00:47:54+00:00,2022-06-14 03:13:05+00:00,53006992.518156946,407,371,10,53006992.518156946
aave_v2_w300_k5_p99.5_12464741_12465316,aave_v2,D-A,300,5,p99.5,51049275.30225094,20,False,12464741,12465316,2021-05-19 12:13:34+00:00,2021-05-19 14:19:38+00:00,103112747.32657768,249,207,10,103112747.32657768
aave_v2_w300_k5_p99.5_14959002_14959491,aave_v2,D-A,300,5,p99.5,51049275.30225094,20,False,14959002,14959491,2022-06-14 00:48:27+00:00,2022-06-14 02:55:49+00:00,53003400.17600233,402,367,9,53003400.17600233
aave_v2_w300_k10_p99.5_12464741_12465316,aave_v2,D-A,300,10,p99.5,51049275.30225094,20,False,12464741,12465316,2021-05-19 12:13:34+00:00,2021-05-19 14:19:38+00:00,103112747.32657768,249,207,10,103112747.32657768
aave_v2_w300_k10_p99.5_14959002_14959491,aave_v2,D-A,300,10,p99.5,51049275.30225094,20,False,14959002,14959491,2022-06-14 00:48:27+00:00,2022-06-14 02:55:49+00:00,53003400.17600233,402,367,9,53003400.17600233
aave_v2_w300_k20_p99.5_12464741_12465316,aave_v2,D-A,300,20,p99.5,51049275.30225094,20,False,12464741,12465316,2021-05-19 12:13:34+00:00,2021-05-19 14:19:38+00:00,103112747.32657768,249,207,10,103112747.32657768
aave_v2_w300_k20_p99.5_14959002_14959491,aave_v2,D-A,300,20,p99.5,51049275.30225094,20,False,14959002,14959491,2022-06-14 00:48:27+00:00,2022-06-14 02:55:49+00:00,53003400.17600233,402,367,9,53003400.17600233
aave_v2_w300_k5_p99.9_12464768_12465200,aave_v2,D-A,300,5,p99.9,71171698.80277185,20,False,12464768,12465200,2021-05-19 12:17:45+00:00,2021-05-19 13:51:02+00:00,84111735.1631858,194,172,7,84111735.1631858
aave_v2_w300_k10_p99.9_12464768_12465200,aave_v2,D-A,300,10,p99.9,71171698.80277185,20,False,12464768,12465200,2021-05-19 12:17:45+00:00,2021-05-19 13:51:02+00:00,84111735.1631858,194,172,7,84111735.1631858
aave_v2_w300_k20_p99.9_12464768_12465200,aave_v2,D-A,300,20,p99.9,71171698.80277185,20,False,12464768,12465200,2021-05-19 12:17:45+00:00,2021-05-19 13:51:02+00:00,84111735.1631858,194,172,7,84111735.1631858
